"","family","natal_coat","natal_coat_type","natal_coat_type_simple","natal_coat_conspicuous","natal_coat_inconspicuous","natal_coat_present","sexual_dichromatism","sexual_dichromatism_type","sexual_dichromatism_complete","sexual_dichromatism_partial","sexual_dichromatism_present","size_dimorphism","maturation_color_change","maturation_males_only","maturation_females_only","maturation_both","maturation_none","all_color_traits","superfamily"
"Hylobates_pileatus","Hylobatidae",1,"Con to dad","conspicuous",1,0,1,1,"Complete",1,0,1,1,"Males only",1,0,0,0,1,"Hominoidea"
"Hylobates_lar","Hylobatidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Hominoidea"
"Hylobates_muelleri","Hylobatidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,0,"Both",0,0,1,0,1,"Hominoidea"
"Hylobates_moloch","Hylobatidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Hominoidea"
"Hylobates_klossii","Hylobatidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Hominoidea"
"Hylobates_agilis","Hylobatidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,0,"None",0,0,0,1,1,"Hominoidea"
"Nomascus_leucogenys","Hylobatidae",1,"Con to dad","conspicuous",1,0,1,1,"Complete",1,0,1,1,"Males only",1,0,0,0,1,"Hominoidea"
"Nomascus_gabriellae","Hylobatidae",1,"Con to dad","conspicuous",1,0,1,1,"Complete",1,0,1,0,"Males only",1,0,0,0,1,"Hominoidea"
"Nomascus_concolor","Hylobatidae",1,"Con to dad","conspicuous",1,0,1,1,"Complete",1,0,1,0,"Males only",1,0,0,0,1,"Hominoidea"
"Hoolock_hoolock","Hylobatidae",1,"Con to dad","conspicuous",1,0,1,1,"Complete",1,0,1,1,"Males only",1,0,0,0,1,"Hominoidea"
"Pongo_pygmaeus","Pongidae",0,"maybe","none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Hominoidea"
"Pongo_abelii","Pongidae",0,NA,"none",0,0,0,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Hominoidea"
"Pan_troglodytes","Hominidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Hominoidea"
"Pan_paniscus","Hominidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Hominoidea"
"Gorilla_gorilla","Hominidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Hominoidea"
"Gorilla_beringei","Hominidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Hominoidea"
