"","family","natal_coat","natal_coat_type","natal_coat_type_simple","natal_coat_conspicuous","natal_coat_inconspicuous","natal_coat_present","sexual_dichromatism","sexual_dichromatism_type","sexual_dichromatism_complete","sexual_dichromatism_partial","sexual_dichromatism_present","size_dimorphism","maturation_color_change","maturation_color_change_numeric","maturation_color_change_letter","all_color_traits","trait_combination","trait_id","trait_id_letter","superfamily"
"Leontopithecus_rosalia","Callitrichidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Platyrrhini"
"Leontopithecus_chrysopygus","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Saguinus_mystax","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Saguinus_labiatus","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Saguinus_inustus","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Saguinus_imperator","Callitrichidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,0,"None",0,"N","inconspicuous_Partial_N","inconspicuous_Partial_N",8,"H","Platyrrhini"
"Saguinus_midas","Callitrichidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Platyrrhini"
"Saguinus_oedipus","Callitrichidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Saguinus_geoffroyi","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Saguinus_bicolor","Callitrichidae",0,"no","none",0,0,0,1,"Partial",0,1,1,0,"None",0,"N","none_Partial_N","none_Partial_N",11,"K","Platyrrhini"
"Saguinus_leucopus","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Leontocebus_nigricollis","Callitrichidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Leontocebus_tripartitus","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Leontocebus_fuscicollis","Callitrichidae",0,"no","none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Saimiri_ustus","Cebidae",0,NA,"none",0,0,0,1,"Partial",0,1,1,1,"None",0,"N","none_Partial_N","none_Partial_N",11,"K","Platyrrhini"
"Saimiri_vanzolinii","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Saimiri_sciureus","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Saimiri_oerstedii","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Saimiri_boliviensis","Cebidae",0,NA,"none",0,0,0,1,"Partial",0,1,1,1,"None",0,"N","none_Partial_N","none_Partial_N",11,"K","Platyrrhini"
"Sapajus_apella","Cebidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,"N","inconspicuous_Partial_N","inconspicuous_Partial_N",8,"H","Platyrrhini"
"Cebus_albifrons","Cebidae",0,"no","none",0,0,0,1,"Partial",0,1,1,1,"None",0,"N","none_Partial_N","none_Partial_N",11,"K","Platyrrhini"
"Cebus_olivaceus","Cebidae",0,"no","none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Cebus_capucinus","Cebidae",0,"no","none",0,0,0,1,"Partial",0,1,1,1,"None",0,"N","none_Partial_N","none_Partial_N",11,"K","Platyrrhini"
"Aotus_trivirgatus","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Aotus_nigriceps","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Ateles_geoffroyi","Cebidae",1,"incon","inconspicuous",0,1,1,0,"Partial",0,1,1,0,"None",0,"N","inconspicuous_Partial_N","inconspicuous_Partial_N",8,"H","Platyrrhini"
"Ateles_fusciceps","Cebidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Ateles_paniscus","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Platyrrhini"
"Ateles_chamek","Cebidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Ateles_marginatus","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Platyrrhini"
"Ateles_belzebuth","Cebidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Brachyteles_arachnoides","Cebidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,"N","inconspicuous_Partial_N","inconspicuous_Partial_N",8,"H","Platyrrhini"
"Lagothrix_lagotricha","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Platyrrhini"
"Oreonax_flavicauda","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Alouatta_pigra","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Platyrrhini"
"Alouatta_palliata","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Platyrrhini"
"Alouatta_guariba","Cebidae",1,"incon","inconspicuous",0,1,1,1,"Complete",1,0,1,1,"None",0,"N","inconspicuous_Complete_N","inconspicuous_Complete_N",6,"F","Platyrrhini"
"Alouatta_belzebul","Cebidae",0,NA,"none",0,0,0,1,"Partial",0,1,1,1,"None",0,"N","none_Partial_N","none_Partial_N",11,"K","Platyrrhini"
"Alouatta_caraya","Cebidae",1,"Con to dad","conspicuous",1,0,1,1,"Complete",1,0,1,1,"Males only",1,"M","conspicuous_Complete_M","conspicuous_Complete_M",2,"B","Platyrrhini"
"Alouatta_sara","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Platyrrhini"
"Alouatta_seniculus","Cebidae",0,"no","none",0,0,0,1,"Partial",0,1,1,1,"None",0,"N","none_Partial_N","none_Partial_N",11,"K","Platyrrhini"
"Symphalangus_syndactylus","Hylobatidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Hominoidea"
"Hylobates_pileatus","Hylobatidae",1,"Con to dad","conspicuous",1,0,1,1,"Complete",1,0,1,1,"Males only",1,"M","conspicuous_Complete_M","conspicuous_Complete_M",2,"B","Hominoidea"
"Hylobates_lar","Hylobatidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Hominoidea"
"Hylobates_muelleri","Hylobatidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,0,"Both",3,"B","conspicuous_Partial_B","conspicuous_Partial_B",4,"D","Hominoidea"
"Hylobates_moloch","Hylobatidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Hominoidea"
"Hylobates_klossii","Hylobatidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Hominoidea"
"Hylobates_agilis","Hylobatidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,0,"None",0,"N","inconspicuous_Partial_N","inconspicuous_Partial_N",8,"H","Hominoidea"
"Nomascus_leucogenys","Hylobatidae",1,"Con to dad","conspicuous",1,0,1,1,"Complete",1,0,1,1,"Males only",1,"M","conspicuous_Complete_M","conspicuous_Complete_M",2,"B","Hominoidea"
"Nomascus_gabriellae","Hylobatidae",1,"Con to dad","conspicuous",1,0,1,1,"Complete",1,0,1,0,"Males only",1,"M","conspicuous_Complete_M","conspicuous_Complete_M",2,"B","Hominoidea"
"Nomascus_concolor","Hylobatidae",1,"Con to dad","conspicuous",1,0,1,1,"Complete",1,0,1,0,"Males only",1,"M","conspicuous_Complete_M","conspicuous_Complete_M",2,"B","Hominoidea"
"Hoolock_hoolock","Hylobatidae",1,"Con to dad","conspicuous",1,0,1,1,"Complete",1,0,1,1,"Males only",1,"M","conspicuous_Complete_M","conspicuous_Complete_M",2,"B","Hominoidea"
"Pongo_pygmaeus","Pongidae",0,"maybe","none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Hominoidea"
"Pongo_abelii","Pongidae",0,NA,"none",0,0,0,1,"Partial",0,1,1,1,"None",0,"N","none_Partial_N","none_Partial_N",11,"K","Hominoidea"
"Pan_troglodytes","Hominidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Hominoidea"
"Pan_paniscus","Hominidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Hominoidea"
