"family","Genus","species","subspecies","Sexual_dimorphism","Sexual_Dimorph_type","...7","Location","Direction","Natal_coat","Natal_Coat_Type","NC_description","Sexual_dichromatism","Sexual_dichromatism_type","Where","Darker","SDC_description"
"galagonidae","galago","gallarum",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"galagonidae","galago","matschiei",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"galagonidae","galago","moholi",NA,0,NA,NA,NA,0,0,1,"no treves 67",0,NA,NA,0,NA
"galagonidae","galago","senegalensis",NA,0,NA,NA,NA,0,0,1,"no treves 67",0,NA,NA,0,NA
"galagonidae","galagoides","demidoff",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"galagonidae","galagoides","thomasi",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"galagonidae","galagoides","zanzibaricus",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"hominidae","gorilla","beringei",NA,0,NA,NA,NA,0,1,0,"no treves 64, the color was browner in infants, there was a white tail tuft that developed by month 12 and disappeared by month 36 according to fossey who contradicted another researcher",1,"Partial","Body",2,"M: silvery white back and gray hips rowe 333, groves"
"hominidae","gorilla","gorilla",NA,1,"brown sagittal crest",NA,"Head",1,1,0,"White tail tuft; brown haired crown; amount, texture, and distribution of hair alley",1,"Partial","Body",2,"M: brown sagittal crest, silvery color on back, rump and thighs rowe 333, groves"
"lemuridae","hapalemur","aureus",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"lemuridae","hapalemur","griseus",NA,0,NA,NA,NA,0,1,0,"juveniles reddish-yellow below hill, grey face mask",0,NA,NA,0,NA
"lemuridae","prolemur","simus",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"hylobatidae","hoolock","hoolock",NA,1,"male has small preputial tuft grueter, mootnick, (75 mm long) marshall",NA,"Pubis",1,1,2,"neonates are milky white, females change as subadults rowe 12, infants are fair no contrast to mom con to dad, juveniles are black treves 2,3,5,6, choudhury, mootnick, marshall",1,"Complete",NA,1,"M: black with white eyebrows, F: copper tan with whitish eyebrow band, whitish hair around the face and brown cheeks rowe 984, mootnick, marshall"
"hylobatidae","nomascus","concolor",NA,0,NA,NA,NA,0,1,2,"infants born yellow, both sexes change to black at 6 months rowe 987, infants con to dad, hands and feet change first treves 2-4, born grey yellow or dark brown changes to black at 6 months zhenhe, start changing at fingers, toes, and face ring mootnick",1,"Complete",NA,1,"M: black. F: variable by subspecies, brown buff, buff, or gray with brown to black accents rowe 987, h.c.hainanus females range from cream to brown treves 2-4 zhenhe"
"hylobatidae","nomascus","gabriellae",NA,0,NA,NA,NA,0,1,2,"infants whitish buff rowe 286",1,"Complete",NA,1,"M: black. F: buffy rowe 286, males have reddish gold cheek hair grueter 2015, mootnick"
"hylobatidae","nomascus","leucogenys",NA,1,"crown crests on their heads geismann 2000, mootnick",NA,"Head",1,1,2,"whitish buff coat rowe 988, both sexes turn black by 2 years of age, mootnick",1,"Complete",NA,1,"M: black with white fur on their cheeks. F: golden or buff with white halo around their face rowe 988, groves 2001, geissmann 2000, mootnick"
"hylobatidae","symphalangus","syndactylus",NA,1,"males have a long scrotal tuft rowe 118, grueter 2015, 135 mm in length marshall",NA,"Pubis",1,0,1,"no treves 2,7",0,NA,NA,0,NA
