Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
103	1	-232.4353	-236.3183	3.882948	1	0	1	1	0.02371475	0.02371475	0.0005069083	0.01676789	0.07650055	0.07650055	0.0289335	0.0289335	0.20957	0.402795	0.176709	0.210926
104	0	-230.9162	-224.2643	-6.651876	1	0	1	1	0.02020472	0.02020472	0.002439441	0.03471263	0.1178499	0.1178499	0.04980991	0.04980991	0.0721008	0.666319	0.0635442	0.198036
105	1	-230.6127	-233.6681	3.055416	1	0	1	1	0.02371475	0.02371475	0.0006128722	0.02317791	0.08678501	0.08678501	0.01830669	0.01830669	0.371406	0.122202	0.132582	0.37381
106	0	-229.0535	-223.6502	-5.403317	1	0	1	1	0.03208763	0.03208763	0.002717777	0.03471263	0.1050792	0.1050792	0.04110476	0.04110476	0.371859	0.132065	0.327729	0.168347
107	1	-229.6645	-232.0308	2.366267	1	0	1	0	0.02122557	0.02122557	0.0006128722	0.01998469	0.1107599	0.1107599	0.02479217	0.01690507	0.359778	0.124958	0.135572	0.379692
108	0	-231.7718	-221.136	-10.63579	1	0	1	1	0.03153337	0.03153337	0.002961919	0.03471263	0.1367173	0.1367173	0.0488126	0.0488126	0.0369819	0.765636	0.130399	0.0669833
109	1	-231.7773	-232.2134	0.4361853	1	0	1	1	0.02122557	0.02122557	0.00058597	0.02122744	0.1107599	0.1107599	0.01833863	0.01833863	0.379646	0.0766361	0.143059	0.40066
110	0	-229.617	-228.5755	-1.04159	1	0	1	1	0.03153337	0.03153337	0.004422538	0.02600019	0.0962775	0.0962775	0.02492856	0.02492856	0.0342478	0.782962	0.120759	0.0620312
111	1	-232.0345	-230.1238	-1.910719	1	0	1	1	0.03465095	0.03465095	0.0004623333	0.01786483	0.1107599	0.1107599	0.02590812	0.02590812	0.279924	0.104107	0.162069	0.4539
112	0	-230.4375	-226.4432	-3.994284	1	0	1	1	0.03153337	0.03153337	0.004355448	0.02600019	0.1187743	0.1187743	0.02452683	0.02452683	0.0405622	0.729637	0.171994	0.0578065
113	1	-229.7264	-230.0565	0.3300695	0	0	1	0	0.03465095	0.03118338	0.0004623333	0.01786483	0.1107599	0.1107599	0.03341318	0.01767813	0.566854	0.0368864	0.104261	0.291999
114	0	-230.123	-226.0615	-4.061482	1	0	1	1	0.03300963	0.03300963	0.0033805	0.02600019	0.1187743	0.1187743	0.02452683	0.02452683	0.0211327	0.748865	0.170673	0.0593298
115	1	-231.2142	-229.8337	-1.38046	0	0	1	1	0.03465095	0.02631886	0.0004623333	0.01662678	0.1107599	0.1107599	0.03341318	0.03341318	0.448823	0.0292059	0.290772	0.231199
116	0	-229.8317	-223.7327	-6.098963	1	0	1	1	0.03300963	0.03300963	0.003520218	0.02840014	0.1187743	0.1187743	0.0371874	0.0371874	0.0228304	0.809027	0.130954	0.0371883
117	1	-230.1263	-228.2424	-1.88387	1	0	1	1	0.02280302	0.02280302	0.0004387975	0.02689139	0.1075811	0.1075811	0.03173152	0.03173152	0.547442	0.0239802	0.238746	0.189832
118	0	-230.8026	-230.9433	0.1407167	1	0	1	1	0.03598912	0.03598912	0.002985882	0.02015665	0.08193038	0.08193038	0.03327976	0.03327976	0.0222719	0.789236	0.127751	0.0607415
119	1	-230.6406	-225.9149	-4.725726	1	0	1	1	0.02280302	0.02280302	0.000754912	0.02676541	0.09727469	0.09727469	0.06304892	0.06304892	0.322931	0.0358767	0.357186	0.284006
120	0	-228.6102	-227.9327	-0.6774928	0	0	1	1	0.03598912	0.01559132	0.00438509	0.02703389	0.0895906	0.0895906	0.04439764	0.04439764	0.0136371	0.796206	0.128879	0.061278
121	1	-231.4465	-227.333	-4.113431	1	0	1	1	0.01826176	0.01826176	0.0007282596	0.02676541	0.09727469	0.09727469	0.06304892	0.06304892	0.261925	0.123129	0.289708	0.325239
122	0	-226.9264	-226.8572	-0.06921974	0	0	1	1	0.02567271	0.01287686	0.003298884	0.02703389	0.1047013	0.1047013	0.0388661	0.0388661	0.0068058	0.825928	0.103701	0.0635654
123	1	-230.482	-224.4484	-6.033612	1	0	1	1	0.02317056	0.02317056	0.0007282596	0.03799732	0.09727469	0.09727469	0.06123335	0.06123335	0.261925	0.123129	0.289708	0.325239
124	0	-232.1206	-232.907	0.7863826	1	0	1	1	0.02567271	0.02567271	0.004742024	0.02703389	0.0636701	0.0636701	0.0484062	0.0484062	0.0069981	0.849265	0.106631	0.0371059
125	1	-229.9935	-226.4946	-3.498949	1	0	1	1	0.02902617	0.02902617	0.0004865204	0.02560335	0.09727469	0.09727469	0.04910407	0.04910407	0.261925	0.123129	0.289708	0.325239
126	0	-229.9833	-229.7005	-0.2828339	1	0	1	1	0.01881036	0.01881036	0.003349712	0.02917932	0.08036111	0.08036111	0.04580111	0.04580111	0.0069981	0.849265	0.106631	0.0371059
127	1	-230.5575	-229.1906	-1.366888	1	0	1	1	0.01891102	0.01891102	0.000654717	0.02483172	0.09727469	0.09727469	0.04391684	0.04391684	0.25917	0.155387	0.365609	0.219834
128	0	-229.6713	-228.0166	-1.654751	1	0	1	1	0.01881036	0.01881036	0.001812916	0.02917932	0.08992508	0.08992508	0.04800886	0.04800886	0.00684617	0.830827	0.104316	0.0580104
129	1	-229.0743	-227.2542	-1.820053	1	0	1	1	0.02790858	0.02790858	0.001761791	0.02505355	0.09727469	0.09727469	0.03697111	0.03697111	0.176608	0.105887	0.24914	0.468364
130	0	-226.9735	-233.2207	6.24715	0	0	1	0	0.01881036	0.004936974	0.004408862	0.02917932	0.08992508	0.08992508	0.04978539	0.004823476	0.0631343	0.108772	0.750489	0.0776042
