Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]
272	0	-84.51245	-86.77973	2.267281	0.01962716	0.0196272	0.0196272
273	1	-85.01546	-86.87279	1.85733	0.02268552	0.0226855	0.0226855
274	0	-84.58974	-86.77296	2.18322	0.02025428	0.0202543	0.0202543
275	1	-85.01546	-86.87279	1.85733	0.02268552	0.0226855	0.0226855
276	0	-84.53098	-86.77655	2.245569	0.01978913	0.0197891	0.0197891
277	1	-84.39209	-87.09961	2.707514	0.01634288	0.0163429	0.0163429
278	0	-85.70246	-87.18584	1.483376	0.02547533	0.0254753	0.0254753
279	1	-85.42488	-87.04781	1.622932	0.0244342	0.0244342	0.0244342
280	0	-86.73887	-87.77155	1.032687	0.02883761	0.0288376	0.0288376
281	1	-84.60954	-86.77347	2.163924	0.02039824	0.0203982	0.0203982
282	0	-90.80149	-90.44261	-0.3588853	0.03921917	0.0392192	0.0392192
283	1	-85.82424	-87.24971	1.425477	0.02590727	0.0259073	0.0259073
284	0	-85.08483	-86.89911	1.81428	0.02300669	0.0230067	0.0230067
285	1	-84.38643	-87.07748	2.69105	0.01646571	0.0164657	0.0164657
286	0	-86.69661	-87.74622	1.049605	0.02871139	0.0287114	0.0287114
287	1	-84.60532	-86.7733	2.167979	0.02036798	0.020368	0.020368
288	0	-86.99422	-87.92653	0.9323119	0.02958644	0.0295864	0.0295864
289	1	-84.42145	-86.82312	2.401672	0.01862456	0.0186246	0.0186246
290	0	-86.39474	-87.56816	1.173426	0.02778765	0.0277877	0.0277877
291	1	-84.42145	-86.82312	2.401672	0.01862456	0.0186246	0.0186246
292	0	-86.06956	-87.38322	1.313661	0.02674146	0.0267415	0.0267415
293	1	-84.42209	-86.82254	2.400449	0.01863368	0.0186337	0.0186337
294	0	-84.42024	-86.82427	2.40403	0.01860697	0.018607	0.018607
295	1	-84.42209	-86.82254	2.400449	0.01863368	0.0186337	0.0186337
296	0	-84.54527	-87.4576	2.912333	0.01481487	0.0148149	0.0148149
297	1	-85.16009	-86.92947	1.769377	0.02334168	0.0233417	0.0233417
298	0	-85.25438	-86.96975	1.715373	0.02374456	0.0237446	0.0237446
299	1	-84.90701	-86.83551	1.928502	0.02215456	0.0221546	0.0221546
300	0	-84.63144	-87.61007	2.978633	0.01432025	0.0143203	0.0143203
301	1	-84.73737	-87.78196	3.044582	0.01382826	0.0138283	0.0138283
302	0	-84.57866	-86.77302	2.19436	0.02017117	0.0201712	0.0201712
303	1	-85.36863	-88.66756	3.298922	0.0119308	0.0119308	0.0119308
304	0	-84.57866	-86.77302	2.19436	0.02017117	0.0201712	0.0201712
305	1	-84.54127	-87.45011	2.908844	0.0148409	0.0148409	0.0148409
306	0	-84.74686	-86.79229	2.045431	0.02128223	0.0212822	0.0212822
307	1	-84.63059	-86.77475	2.144159	0.02054569	0.0205457	0.0205457
308	0	-85.70281	-87.18602	1.483206	0.0254766	0.0254766	0.0254766
309	1	-84.7136	-87.74447	3.030866	0.01393058	0.0139306	0.0139306
310	0	-84.38634	-87.0771	2.690767	0.01646782	0.0164678	0.0164678
311	1	-84.43679	-87.22992	2.793131	0.01570415	0.0157042	0.0157042
312	0	-84.8516	-87.95565	3.104048	0.01338462	0.0133846	0.0133846
313	1	-85.24422	-88.50357	3.25935	0.01222602	0.012226	0.012226
314	0	-84.8804	-86.82722	1.946822	0.02201788	0.0220179	0.0220179
315	1	-85.20069	-88.44535	3.244655	0.01233565	0.0123356	0.0123356
316	0	-85.66693	-87.16755	1.500612	0.02534674	0.0253467	0.0253467
317	1	-85.20069	-88.44535	3.244655	0.01233565	0.0123356	0.0123356
318	0	-84.73566	-86.78998	2.054321	0.0212159	0.0212159	0.0212159
319	1	-84.42912	-87.21054	2.781421	0.01579151	0.0157915	0.0157915
320	0	-84.39707	-86.85308	2.456016	0.01821914	0.0182191	0.0182191
321	1	-84.9	-86.83329	1.933289	0.02211884	0.0221188	0.0221188
322	0	-84.4043	-87.14078	2.736476	0.01612682	0.0161268	0.0161268
323	1	-84.4493	-87.26006	2.810755	0.01557267	0.0155727	0.0155727
324	0	-84.4043	-87.14078	2.736476	0.01612682	0.0161268	0.0161268
325	1	-84.73087	-86.78902	2.058156	0.0211873	0.0211873	0.0211873
326	0	-84.79881	-86.8044	2.005587	0.02157948	0.0215795	0.0215795
327	1	-84.46055	-87.28588	2.825331	0.01546393	0.0154639	0.0154639
328	0	-84.73702	-87.78141	3.044383	0.01382974	0.0138297	0.0138297
329	1	-84.97995	-88.14137	3.161422	0.01295659	0.0129566	0.0129566
330	0	-84.73702	-87.78141	3.044383	0.01382974	0.0138297	0.0138297
331	1	-85.38867	-88.69366	3.304991	0.01188552	0.0118855	0.0118855
332	0	-84.75473	-86.79399	2.039254	0.02132831	0.0213283	0.0213283
333	1	-85.40001	-88.7084	3.30839	0.01186016	0.0118602	0.0118602
334	0	-84.48543	-87.33983	2.85439	0.01524714	0.0152471	0.0152471
335	1	-84.60043	-87.55689	2.95646	0.01448567	0.0144857	0.0144857
336	0	-84.83967	-87.93793	3.098262	0.01342778	0.0134278	0.0134278
337	1	-84.59005	-87.53872	2.948663	0.01454384	0.0145438	0.0145438
338	0	-84.60705	-87.56839	2.961335	0.0144493	0.0144493	0.0144493
339	1	-84.70479	-86.78421	2.079423	0.02102864	0.0210286	0.0210286
340	0	-84.95056	-88.09954	3.148989	0.01304935	0.0130493	0.0130493
341	1	-84.72908	-87.76894	3.03986	0.01386348	0.0138635	0.0138635
342	0	-85.01444	-88.18998	3.175546	0.01285122	0.0128512	0.0128512
343	1	-84.50458	-87.37903	2.874452	0.01509748	0.0150975	0.0150975
344	0	-84.37313	-86.92535	2.55222	0.01750143	0.0175014	0.0175014
345	1	-86.51978	-87.64126	1.121477	0.02817521	0.0281752	0.0281752
346	0	-84.37313	-86.92535	2.55222	0.01750143	0.0175014	0.0175014
347	1	-86.51978	-87.64126	1.121477	0.02817521	0.0281752	0.0281752
348	0	-84.37759	-86.90115	2.523561	0.01771523	0.0177152	0.0177152
349	1	-84.3747	-86.91502	2.540325	0.01759016	0.0175902	0.0175902
350	0	-84.37338	-86.9235	2.550122	0.01751707	0.0175171	0.0175171
351	1	-84.40462	-86.8419	2.437284	0.01835888	0.0183589	0.0183589
352	0	-84.66623	-87.668	3.001772	0.01414763	0.0141476	0.0141476
353	1	-87.31823	-88.12725	0.8090171	0.03050626	0.0305063	0.0305063
