Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
88	-228.1619	-230.6469	2.484973	1	0	1	0	0.03204645	0.03204645	0.001991351	0.04537401	0.0836548	0.0836548	0.01485588	0.01547219	0.467317	0.00349582	0.25741	0.271777
89	-231.1197	-228.4957	-2.623969	1	0	1	1	0.03502465	0.03502465	0.002245488	0.04771999	0.09512119	0.09512119	0.01485588	0.01485588	0.543172	0.00772681	0.2137	0.235402
90	-231.6611	-235.4181	3.756944	1	0	1	1	0.02476185	0.02476185	0.002245488	0.03354802	0.07195238	0.07195238	0.01485588	0.01485588	0.177522	0.00164428	0.743898	0.0769352
91	-230.584	-222.9168	-7.667154	0	0	1	1	0.02436445	0.04177676	0.002245488	0.04414347	0.1197266	0.1197266	0.03687595	0.03687595	0.305113	0.00759715	0.331822	0.355468
92	-230.614	-227.1425	-3.471505	1	0	1	1	0.02436445	0.02436445	0.002245488	0.05157991	0.09022714	0.09022714	0.03287309	0.03287309	0.160074	0.00973387	0.374748	0.455444
93	-229.7372	-225.8114	-3.925736	1	0	1	1	0.03711845	0.03711845	0.001913659	0.03398403	0.1053675	0.1053675	0.0262951	0.0262951	0.212764	0.0129379	0.498102	0.276196
94	-229.0538	-227.6656	-1.388202	1	0	1	1	0.02214	0.02214	0.001971553	0.03398403	0.09060838	0.09060838	0.03704402	0.03704402	0.238344	0.0144934	0.43776	0.309403
95	-230.813	-223.8818	-6.931222	1	0	1	1	0.03009655	0.03009655	0.001971553	0.05161105	0.09060838	0.09060838	0.05281308	0.05281308	0.158703	0.123694	0.291485	0.426118
96	-229.3197	-223.5923	-5.727423	0	0	1	1	0.02904927	0.007875148	0.001387363	0.05161105	0.1004223	0.1004223	0.06431657	0.06431657	0.158703	0.123694	0.291485	0.426118
97	-229.2997	-224.38	-4.919665	1	0	1	1	0.02728295	0.02728295	0.003019773	0.03441615	0.1099778	0.1099778	0.03739709	0.03739709	0.239815	0.138123	0.252677	0.369385
98	-229.087	-227.9663	-1.120691	1	0	1	1	0.02258588	0.02258588	0.002007519	0.03421869	0.08790813	0.08790813	0.03703205	0.03703205	0.162786	0.0837443	0.502732	0.250738
99	-230.0391	-230.6787	0.6396657	1	0	1	1	0.01754054	0.01754054	0.002654974	0.02617479	0.08790813	0.08790813	0.03634104	0.03634104	0.172468	0.0292492	0.532632	0.265651
100	-228.4187	-232.93	4.511279	0	0	1	1	0.01754054	0.003047983	0.0008925063	0.024502	0.08514295	0.08514295	0.04715184	0.04715184	0.172468	0.0292492	0.532632	0.265651
101	-231.7033	-227.5183	-4.184916	1	0	1	1	0.02078346	0.02078346	0.0007367454	0.0326367	0.08069424	0.08069424	0.0717612	0.0717612	0.275171	0.0466669	0.254318	0.423844
102	-230.9402	-229.3901	-1.550103	1	0	1	1	0.02078346	0.02078346	0.0008426382	0.02000955	0.09291171	0.09291171	0.05240846	0.05240846	0.487203	0.0826258	0.338559	0.0916126
103	-228.7754	-225.6125	-3.162923	1	0	1	1	0.02945187	0.02945187	0.001356123	0.03475175	0.09480287	0.09480287	0.03862534	0.03862534	0.326104	0.108583	0.44492	0.120393
104	-231.4037	-223.7088	-7.694873	1	0	1	1	0.02254147	0.02254147	0.00219999	0.04557815	0.1231963	0.1231963	0.03928181	0.03928181	0.422844	0.0817956	0.339252	0.156109
105	-231.5408	-221.317	-10.2238	1	0	1	1	0.03599807	0.03599807	0.001822845	0.05136525	0.1231963	0.1231963	0.03928181	0.03928181	0.378336	0.187559	0.303542	0.130564
106	-227.3237	-230.2875	2.963865	1	0	1	0	0.03599807	0.03599807	0.001884603	0.03020367	0.08612414	0.08612414	0.024106	0.01150552	0.62349	0.101616	0.183488	0.0914049
107	-230.0166	-226.2209	-3.795779	1	0	1	0	0.05096638	0.05096638	0.002031013	0.03461391	0.1230388	0.1230388	0.02259064	0.007010339	0.444477	0.130174	0.235056	0.190293
108	-230.4647	-224.9095	-5.555229	1	0	1	1	0.03644676	0.03644676	0.001888712	0.03761373	0.1230388	0.1230388	0.01784735	0.01784735	0.63387	0.144997	0.121386	0.0997467
109	-229.802	-223.621	-6.181047	0	0	1	1	0.03644676	0.03707341	0.001844533	0.03761373	0.1190098	0.1190098	0.02605765	0.02605765	0.461894	0.404131	0.0884529	0.0455226
110	-227.9828	-229.5977	1.614929	0	0	1	1	0.03644676	0.01420182	0.002672925	0.02830991	0.09219642	0.09219642	0.02605765	0.02605765	0.280104	0.245075	0.447215	0.0276061
111	-230.8067	-227.5821	-3.224616	1	0	1	1	0.03289625	0.03289625	0.004032654	0.01826533	0.09219642	0.09219642	0.05205755	0.05205755	0.405283	0.20246	0.369451	0.0228058
112	-229.5683	-227.7838	-1.784474	1	0	1	1	0.02157079	0.02157079	0.001967194	0.02797114	0.08513763	0.08513763	0.05205755	0.05205755	0.349441	0.31235	0.318546	0.0196635
113	-231.4479	-225.0109	-6.436994	1	0	1	1	0.02157079	0.02157079	0.001984379	0.04124671	0.08513763	0.08513763	0.07347403	0.07347403	0.180878	0.620657	0.164886	0.0335792
114	-234.311	-227.2291	-7.081864	1	0	1	1	0.02157079	0.02157079	0.002285263	0.07095356	0.08513763	0.08513763	0.04827723	0.04827723	0.152346	0.522755	0.251886	0.0730128
115	-234.0653	-230.1002	-3.965122	1	0	1	1	0.01834235	0.01834235	0.004559628	0.06282693	0.08335716	0.08335716	0.03588654	0.03588654	0.0981004	0.336618	0.518267	0.0470152
116	-233.1146	-228.6039	-4.510722	1	0	1	1	0.02339396	0.02339396	0.003578361	0.06282693	0.08335716	0.08335716	0.03588654	0.03588654	0.0432353	0.148356	0.228413	0.579996
117	-234.2052	-229.7473	-4.457953	1	0	1	1	0.01990203	0.01990203	0.006254165	0.05979776	0.08164999	0.08164999	0.04104534	0.04104534	0.0430566	0.151876	0.227469	0.577598
118	-231.286	-226.2573	-5.028713	1	0	1	1	0.02482519	0.02482519	0.006254165	0.045476	0.09530663	0.09530663	0.04104534	0.04104534	0.0319808	0.112808	0.257324	0.597888
119	-228.3747	-226.2557	-2.118989	0	0	1	1	0.02482519	0.01009272	0.004746449	0.045476	0.09530663	0.09530663	0.04729468	0.04729468	0.0148281	0.0523037	0.164865	0.768003
120	-229.8704	-226.9987	-2.871659	1	0	1	1	0.01964467	0.01964467	0.003761651	0.0338251	0.09530663	0.09530663	0.04427698	0.04427698	0.00504016	0.287806	0.124975	0.582179
121	-227.4415	-230.4731	3.031533	0	0	1	1	0.01744631	0.006393077	0.003757672	0.02784407	0.09530663	0.09530663	0.03856942	0.03856942	0.0287906	0.329712	0.147835	0.493662
122	-231.471	-225.5616	-5.90934	1	0	1	1	0.01744631	0.01744631	0.003764876	0.03368447	0.1111749	0.1111749	0.05340652	0.05340652	0.0107858	0.410721	0.393554	0.184939
123	-231.9336	-222.1992	-9.734426	1	0	1	1	0.02333052	0.02333052	0.00402528	0.03368447	0.1097192	0.1097192	0.07725394	0.07725394	0.0154487	0.588286	0.131372	0.264894
