Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rf[1]	rf[2]
255	-78.94349	-82.73903	3.795549	0.011526	0.0332416	0.719461	0.280539
256	-78.74309	-80.51643	1.773333	0.0150013	0.0448526	0.444783	0.555217
257	-78.9197	-77.5977	-1.322003	0.0150013	0.0679448	0.859563	0.140437
258	-78.52245	-78.36355	-0.1589011	0.013546	0.060723	0.998264	0.00173629
259	-79.03545	-78.4173	-0.6181505	0.0169722	0.060723	0.999346	0.000653755
260	-79.67312	-77.22931	-2.443812	0.0177887	0.0735264	0.999579	0.000420542
261	-81.67893	-75.43037	-6.248556	0.0177887	0.101911	0.993091	0.00690944
262	-79.95793	-76.78524	-3.172691	0.0177887	0.0789641	0.976668	0.023332
263	-79.13476	-78.9542	-0.1805572	0.00925916	0.0651714	0.857489	0.142511
264	-79.85231	-77.7848	-2.067513	0.019118	0.0693898	0.857489	0.142511
265	-79.08729	-77.49122	-1.596067	0.0156009	0.0693898	0.443829	0.556171
266	-80.22705	-76.54806	-3.678989	0.0113931	0.0891368	0.307855	0.692145
267	-80.1054	-76.62219	-3.483212	0.0113931	0.0876763	0.892549	0.107451
268	-80.23435	-76.86265	-3.371696	0.0105612	0.0876763	0.521928	0.478072
269	-80.57188	-76.20126	-4.370617	0.0180134	0.0876763	0.547765	0.452235
270	-79.12162	-80.34565	1.224034	0.0174202	0.0465317	0.87867	0.12133
271	-79.2538	-80.8922	1.638404	0.0174202	0.0434403	0.659668	0.340332
272	-78.56353	-81.04975	2.486223	0.0110952	0.0434403	0.664552	0.335448
273	-79.75993	-81.63242	1.872492	0.00734429	0.0517699	0.240987	0.759013
274	-80.38995	-77.64554	-2.744411	0.00901309	0.0845446	0.518168	0.481832
275	-78.77438	-80.83832	2.063938	0.0148954	0.0427906	0.485664	0.514336
276	-79.55157	-80.20246	0.6508903	0.019037	0.0491908	0.947159	0.052841
277	-80.15647	-81.6314	1.474935	0.0196813	0.0423988	0.212215	0.787785
278	-78.83271	-80.1011	1.268388	0.0156663	0.0479547	0.287515	0.712485
279	-78.89366	-81.26636	2.3727	0.0156663	0.0397161	0.85234	0.14766
280	-78.52718	-81.22826	2.701075	0.0132165	0.0397161	0.945543	0.0544566
281	-81.84648	-87.47968	5.633197	0.0170148	0.0140434	0.945543	0.0544566
282	-80.28485	-85.03961	4.754762	0.0151911	0.0224204	0.619251	0.380749
283	-79.22188	-79.51037	0.2884862	0.0175347	0.0533967	0.128809	0.871191
284	-79.0986	-79.26124	0.1626431	0.017418	0.0544522	0.700313	0.299687
285	-78.50381	-79.59193	1.088125	0.0133712	0.0515946	0.248228	0.751772
286	-79.90493	-81.30669	1.401763	0.0191322	0.0434938	0.248228	0.751772
287	-79.31866	-78.99361	-0.3250477	0.0180703	0.0574382	0.476284	0.523716
288	-79.41418	-78.15449	-1.25969	0.0180703	0.0644109	0.770713	0.229287
289	-78.64294	-78.13543	-0.5075103	0.0124588	0.0644109	0.632168	0.367832
290	-80.4437	-78.96677	-1.47693	0.0213715	0.0627304	0.401444	0.598556
291	-78.563	-78.59365	0.03064752	0.0126382	0.0602167	0.170976	0.829024
292	-78.63373	-78.39138	-0.2423535	0.0146748	0.0602167	0.802016	0.197984
293	-80.12996	-77.21038	-2.91958	0.00999722	0.0848673	0.747779	0.252221
294	-79.30294	-80.43434	1.131403	0.0181062	0.0465368	0.939511	0.0604887
295	-78.60608	-80.13077	1.524687	0.0151721	0.0465368	0.939511	0.0604887
296	-79.53137	-76.77102	-2.760349	0.015878	0.0777986	0.939511	0.0604887
297	-78.88106	-78.08313	-0.7979355	0.015878	0.0631584	0.939511	0.0604887
298	-78.88196	-78.08403	-0.7979355	0.015878	0.0631584	0.928558	0.0714419
299	-78.62154	-78.11743	-0.50411	0.013686	0.0631584	0.790524	0.209476
300	-79.51916	-79.76324	0.2440891	0.00810419	0.0631584	0.419237	0.580763
301	-78.41498	-79.83736	1.422379	0.0118278	0.0506444	0.652774	0.347226
302	-79.56494	-77.73975	-1.825187	0.0181537	0.0685463	0.787875	0.212125
303	-79.93288	-76.99829	-2.93459	0.0181537	0.0768228	0.723521	0.276479
304	-79.14337	-79.84248	0.6991045	0.00866936	0.0591986	0.822813	0.177187
305	-78.71501	-79.37803	0.66302	0.0156867	0.0524505	0.670259	0.329741
306	-78.47451	-79.62515	1.150635	0.0112633	0.0532362	0.586295	0.413705
307	-80.77842	-77.27059	-3.507833	0.0208356	0.0784174	0.0667296	0.93327
308	-79.4365	-77.19884	-2.237661	0.0113598	0.0784174	0.0427422	0.957258
309	-79.18921	-77.96167	-1.227542	0.0170786	0.0651628	0.856238	0.143762
310	-79.20169	-78.03915	-1.162539	0.0170786	0.0646778	0.495236	0.504764
311	-79.05393	-79.79987	0.7459458	0.0170786	0.0504399	0.533437	0.466563
312	-80.09354	-77.25672	-2.836823	0.00995861	0.0842885	0.407633	0.592367
313	-78.69774	-79.82186	1.124121	0.00995861	0.0547386	0.567928	0.432072
314	-81.96103	-75.24871	-6.712321	0.0171569	0.106003	0.522087	0.477913
315	-81.96037	-75.24805	-6.712321	0.0171569	0.106003	0.781446	0.218554
316	-83.69097	-76.04295	-7.648029	0.0241376	0.106003	0.295914	0.704086
317	-81.66426	-81.62832	-0.03594286	0.0241376	0.0492141	0.443997	0.556003
318	-79.10504	-80.19437	1.089333	0.00862261	0.0563342	0.771012	0.228988
319	-78.40454	-79.02845	0.6239145	0.0120948	0.0563342	0.960346	0.0396541
320	-78.5209	-78.40653	-0.1143649	0.0124003	0.0615365	0.990224	0.00977596
321	-80.01941	-76.19146	-3.827949	0.0139197	0.0877215	0.990224	0.00977596
322	-78.42909	-79.05662	0.6275261	0.0139197	0.0544823	0.990224	0.00977596
323	-79.24706	-76.91443	-2.332625	0.0139197	0.0765659	0.993413	0.00658677
324	-78.74832	-77.76825	-0.980063	0.0139197	0.0664754	0.895687	0.104313
325	-79.59216	-78.01084	-1.581323	0.0184053	0.0664754	0.327676	0.672324
326	-78.64667	-81.01903	2.372358	0.0122464	0.0431387	0.241405	0.758595
327	-78.81484	-80.73611	1.921267	0.0156116	0.0431387	0.720276	0.279724
328	-80.51749	-83.52324	3.005751	0.019251	0.0314087	0.65621	0.34379
